model_spec,source_model_spec,candidate_generator_model_spec,claim_id,source_verdict,source_scoring_label,source_label_authority,source_result_path,known_negative_or_fragile_source,candidate_count,valid_candidate_count,blocked_candidate_count,confirmed_candidate_count,exploratory_confirmed_count,external_confirmed_count,execution_error_count,stopped_reason,transform_types,blocked_reasons,execution_errors,final_labels
benchmark/no-feedback-fullscale,benchmark/no-feedback-fullscale,openai:gpt-5,cognition_fc_hcp_hcpa,fragile,underpowered_small_positive,main,review-stage/round5-combat/combined_benchmark_results.json,True,0,0,0,0,0,0,0,no_candidates,,,,
benchmark/no-feedback-fullscale,benchmark/no-feedback-fullscale,openai:gpt-5,adhd_fc_adhd200_abcd,non_replicated,fragile,main,review-stage/round5-combat/combined_benchmark_results.json,True,27,0,27,0,0,0,0,max_rounds_exhausted,moderator_or_subgroup;moderator_or_subgroup;moderator_or_subgroup;fixed_estimand;moderator_or_subgroup;moderator_or_subgroup;fixed_estimand;narrower_outcome_family;narrower_outcome_family;contract_correction;contract_correction;fixed_estimand;moderator_or_subgroup;moderator_or_subgroup;moderator_or_subgroup;fixed_estimand;moderator_or_subgroup;moderator_or_subgroup;contract_correction;contract_correction;contract_correction;contract_correction;contract_correction;contract_correction;contract_correction;contract_correction;contract_correction,proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed,,
benchmark/no-feedback-fullscale,benchmark/no-feedback-fullscale,openai:gpt-5,adhd_region_adhd200_abcd,non_replicated,fragile,main,review-stage/round5-combat/combined_benchmark_results.json,True,30,0,30,0,0,0,0,max_rounds_exhausted,fixed_estimand;moderator_or_subgroup;narrower_outcome_family;contract_correction;contract_correction;narrower_outcome_family;contract_correction;narrower_outcome_family;moderator_or_subgroup;contract_correction;moderator_or_subgroup;contract_correction;narrower_outcome_family;moderator_or_subgroup;moderator_or_subgroup;contract_correction;narrower_outcome_family;moderator_or_subgroup;moderator_or_subgroup;contract_correction;narrower_outcome_family;moderator_or_subgroup;contract_correction;moderator_or_subgroup;moderator_or_subgroup;contract_correction;narrower_outcome_family;moderator_or_subgroup;contract_correction;contract_correction,proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed,,
benchmark/no-feedback-fullscale,benchmark/no-feedback-fullscale,openai:gpt-5,asd_fc_abide2_abcd,fragile,fragile,main,review-stage/round5-combat/combined_benchmark_results.json,True,31,0,31,0,0,0,0,max_rounds_exhausted,moderator_or_subgroup;moderator_or_subgroup;stronger_design;moderator_or_subgroup;moderator_or_subgroup;moderator_or_subgroup;moderator_or_subgroup;stronger_design;contract_correction;contract_correction;stronger_design;fixed_estimand;stronger_design;stronger_design;fixed_estimand;fixed_estimand;fixed_estimand;fixed_estimand;fixed_estimand;fixed_estimand;fixed_estimand;fixed_estimand;fixed_estimand;fixed_estimand;fixed_estimand;fixed_estimand;fixed_estimand;fixed_estimand;fixed_estimand;fixed_estimand;fixed_estimand,proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed,,
benchmark/no-feedback-fullscale,benchmark/no-feedback-fullscale,openai:gpt-5,ad_fc_adni_oasis3,fragile,candidate_unknown,supplementary,review-stage/round5-combat/combined_benchmark_results.json,True,4,0,4,0,0,0,0,no_candidates,contract_correction;stronger_design;moderator_or_subgroup;narrower_outcome_family,proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed,,
benchmark/no-feedback-fullscale,benchmark/no-feedback-fullscale,openai:gpt-5,ad_region_adni_oasis3,non_replicated,candidate_unknown,supplementary,review-stage/round5-combat/combined_benchmark_results.json,True,33,0,33,0,0,0,0,max_rounds_exhausted,narrower_outcome_family;narrower_outcome_family;moderator_or_subgroup;contract_correction;moderator_or_subgroup;narrower_outcome_family;contract_correction;narrower_outcome_family;moderator_or_subgroup;fixed_estimand;contract_correction;contract_correction;contract_correction;narrower_outcome_family;moderator_or_subgroup;contract_correction;narrower_outcome_family;moderator_or_subgroup;fixed_estimand;contract_correction;narrower_outcome_family;moderator_or_subgroup;fixed_estimand;contract_correction;narrower_outcome_family;moderator_or_subgroup;fixed_estimand;contract_correction;contract_correction;contract_correction;narrower_outcome_family;moderator_or_subgroup;fixed_estimand,proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed,,
benchmark/no-feedback-fullscale,benchmark/no-feedback-fullscale,openai:gpt-5,ad_dyno_adni_oasis3,fragile,candidate_unknown,supplementary,review-stage/round5-combat/combined_benchmark_results.json,True,34,0,34,0,0,0,0,max_rounds_exhausted,stronger_design;moderator_or_subgroup;moderator_or_subgroup;fixed_estimand;contract_correction;stronger_design;fixed_estimand;stronger_design;moderator_or_subgroup;stronger_design;contract_correction;moderator_or_subgroup;moderator_or_subgroup;stronger_design;fixed_estimand;fixed_estimand;fixed_estimand;fixed_estimand;fixed_estimand;stronger_design;fixed_estimand;moderator_or_subgroup;moderator_or_subgroup;fixed_estimand;fixed_estimand;moderator_or_subgroup;stronger_design;fixed_estimand;moderator_or_subgroup;moderator_or_subgroup;stronger_design;fixed_estimand;moderator_or_subgroup;moderator_or_subgroup,proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed,,
benchmark/no-feedback-fullscale,benchmark/no-feedback-fullscale,openai:gpt-5,injected_null_site_abcd,fragile,known_null,main,review-stage/round5-combat/combined_benchmark_results.json,True,0,0,0,0,0,0,0,no_candidates,,,,
benchmark/no-feedback-fullscale,benchmark/no-feedback-fullscale,openai:gpt-5,injected_null_site_ukb,fragile,known_null,main,review-stage/round5-combat/combined_benchmark_results.json,True,3,0,3,0,0,0,0,no_candidates,stronger_design;moderator_or_subgroup;moderator_or_subgroup,proposal_validation_failed;proposal_validation_failed;proposal_validation_failed,,
benchmark/no-feedback-fullscale,benchmark/no-feedback-fullscale,openai:gpt-5,injected_null_random_hcp,fragile,known_null,main,review-stage/round5-combat/combined_benchmark_results.json,True,29,0,29,0,0,0,0,max_rounds_exhausted,contract_correction;contract_correction;contract_correction;contract_correction;contract_correction;contract_correction;contract_correction;contract_correction;fixed_estimand;fixed_estimand;fixed_estimand;contract_correction;contract_correction;fixed_estimand;contract_correction;contract_correction;contract_correction;contract_correction;contract_correction;contract_correction;fixed_estimand;fixed_estimand;fixed_estimand;fixed_estimand;moderator_or_subgroup;moderator_or_subgroup;stronger_design;moderator_or_subgroup;fixed_estimand,proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed;proposal_validation_failed,,
