model_spec,source_model_spec,candidate_generator_model_spec,claim_id,target_family,source_mode,source_citation,label_basis,source_verdict,source_scoring_label,source_label_authority,source_result_path,synthetic_failure_family,known_negative_or_fragile_source,generated_candidate_count,candidate_count,unique_candidate_count,duplicate_candidate_count,valid_candidate_count,current_data_evaluated_count,blocked_candidate_count,supported_candidate_count,confirmed_candidate_count,selected_candidate_id,selection_reason,exploratory_confirmed_count,same_data_exploratory_confirmed_count,final_confirmed_count,contract_repair_supported_count,holdout_confirmed_count,any_supported_candidate_count,external_confirmed_count,same_underlying_data,excluded_evidence_used,external_evidence_used,excluded_evidence_query_count,excluded_evidence_status,evidence_freshness,analysis_non_identifiable_count,excluded_evidence_unavailable_count,execution_error_count,excluded_evidence_error_count,stopped_reason,transform_types,blocked_reasons,execution_errors,excluded_evidence_errors,final_labels,effective_final_labels
openai:gpt-5.5,openai:gpt-5.5,openai:gpt-5.5,pubmed_23333262_pmid23333262_rsfc_aging_1,normative_fmri,literature_grounded,PMID:23333262; DOI:10.1016/j.neubiorev.2013.01.017,pubmed_literature,non_replicated,candidate_unknown,,review-stage/confirm-gates-all-gpt55/combined_benchmark_results.json,,False,2,2,2,0,2,2,0,0,0,,,0,0,0,0,0,0,0,False,False,False,0,not_requested,unknown,0,0,0,0,no_supported_candidate,stronger_design;moderator_or_subgroup,,,,non_replicated;non_replicated,non_replicated;non_replicated
openai:gpt-5.5,openai:gpt-5.5,openai:gpt-5.5,pubmed_39856610_pmid39856610_1,adhd,literature_grounded,PMID:39856610; DOI:10.1186/s12888-025-06500-4,pubmed_literature,fragile,candidate_unknown,,review-stage/confirm-gates-all-gpt55/combined_benchmark_results.json,,False,2,2,2,0,2,2,0,0,0,,,0,0,0,0,0,0,0,False,False,False,0,not_requested,unknown,0,0,0,0,no_supported_candidate,moderator_or_subgroup;stronger_design,,,,fragile;fragile,fragile;fragile
openai:gpt-5.5,openai:gpt-5.5,openai:gpt-5.5,pubmed_35583796_pmid35583796_rsfc_dmn_within,adhd,literature_grounded,PMID:35583796; DOI:10.1007/7854_2022_345,pubmed_literature,fragile,candidate_unknown,,review-stage/confirm-gates-all-gpt55/combined_benchmark_results.json,,False,2,2,2,0,2,2,0,0,0,,,0,0,0,0,0,0,0,False,False,False,0,not_requested,unknown,0,0,0,0,no_supported_candidate,moderator_or_subgroup;stronger_design,,,,fragile;fragile,fragile;fragile
openai:gpt-5.5,openai:gpt-5.5,openai:gpt-5.5,pubmed_35583796_pmid35583796_rsfc_dmn_control_salience,adhd,literature_grounded,PMID:35583796; DOI:10.1007/7854_2022_345,pubmed_literature,fragile,candidate_unknown,,review-stage/confirm-gates-all-gpt55/combined_benchmark_results.json,,False,2,2,2,0,2,2,0,0,0,,,0,0,0,0,0,0,0,False,False,False,0,not_requested,unknown,0,0,0,0,no_supported_candidate,fixed_estimand;stronger_design,,,,fragile;fragile,fragile;fragile
openai:gpt-5.5,openai:gpt-5.5,openai:gpt-5.5,pubmed_36403658_pmid36403658_adhd_dmn_fc,adhd,literature_grounded,PMID:36403658; DOI:10.1016/j.neuropsychologia.2022.108418,pubmed_literature,fragile,candidate_unknown,,review-stage/confirm-gates-all-gpt55/combined_benchmark_results.json,,False,2,2,2,0,2,2,0,0,0,,,0,0,0,0,0,0,0,False,False,False,0,not_requested,unknown,0,0,0,0,no_supported_candidate,stronger_design;moderator_or_subgroup,,,,fragile;fragile,fragile;fragile
openai:gpt-5.5,openai:gpt-5.5,openai:gpt-5.5,pubmed_36403658_pmid36403658_adhd_fc_classifier,adhd,literature_grounded,PMID:36403658; DOI:10.1016/j.neuropsychologia.2022.108418,pubmed_literature,fragile,candidate_unknown,,review-stage/confirm-gates-all-gpt55/combined_benchmark_results.json,,False,2,2,2,0,2,2,0,0,0,,,0,0,0,0,0,0,0,False,False,False,0,not_requested,unknown,0,0,0,0,no_supported_candidate,narrower_outcome_family;stronger_design,,,,fragile;fragile,fragile;fragile
openai:gpt-5.5,openai:gpt-5.5,openai:gpt-5.5,pubmed_35359026_35359026_1,adhd,literature_grounded,PMID:35359026; DOI:10.1002/pchj.544,pubmed_literature,fragile,candidate_unknown,,review-stage/confirm-gates-all-gpt55/combined_benchmark_results.json,,False,2,2,2,0,2,2,0,0,0,,,0,0,0,0,0,0,0,False,False,False,0,not_requested,unknown,0,0,0,0,no_supported_candidate,stronger_design;moderator_or_subgroup,,,,fragile;fragile,fragile;fragile
openai:gpt-5.5,openai:gpt-5.5,openai:gpt-5.5,pubmed_34280835_pmid34280835_adhd_smn-fc_01,adhd,literature_grounded,PMID:34280835; DOI:10.1016/j.nicl.2021.102759,pubmed_literature,fragile,candidate_unknown,,review-stage/confirm-gates-all-gpt55/combined_benchmark_results.json,,False,2,2,2,0,2,2,0,0,0,,,0,0,0,0,0,0,0,False,False,False,0,not_requested,unknown,0,0,0,0,no_supported_candidate,stronger_design;moderator_or_subgroup,,,,fragile;fragile,fragile;fragile
openai:gpt-5.5,openai:gpt-5.5,openai:gpt-5.5,pubmed_31265198_pmid31265198_fc_adhd_vs_tdc,adhd,literature_grounded,PMID:31265198; DOI:10.1002/jmri.26854,pubmed_literature,fragile,candidate_unknown,,review-stage/confirm-gates-all-gpt55/combined_benchmark_results.json,,False,2,2,2,0,2,2,0,0,0,,,0,0,0,0,0,0,0,False,False,False,0,not_requested,unknown,0,0,0,0,no_supported_candidate,stronger_design;moderator_or_subgroup,,,,fragile;fragile,fragile;fragile
openai:gpt-5.5,openai:gpt-5.5,openai:gpt-5.5,pubmed_35338900_pmid35338900_age_fcsc,adhd,literature_grounded,PMID:35338900; DOI:10.1016/j.dcn.2022.101101,pubmed_literature,non_replicated,candidate_unknown,,review-stage/confirm-gates-all-gpt55/combined_benchmark_results.json,,False,2,2,2,0,2,2,0,0,0,,,0,0,0,0,0,0,0,False,False,False,0,not_requested,unknown,0,0,0,0,no_supported_candidate,stronger_design;moderator_or_subgroup,,,,non_replicated;non_replicated,non_replicated;non_replicated
openai:gpt-5.5,openai:gpt-5.5,openai:gpt-5.5,pubmed_35338900_pmid35338900_boysadhd_limbicdmn,adhd,literature_grounded,PMID:35338900; DOI:10.1016/j.dcn.2022.101101,pubmed_literature,fragile,candidate_unknown,,review-stage/confirm-gates-all-gpt55/combined_benchmark_results.json,,False,2,2,2,0,2,2,0,0,0,,,0,0,0,0,0,0,0,False,False,False,0,not_requested,unknown,0,0,0,0,no_supported_candidate,stronger_design;moderator_or_subgroup,,,,fragile;fragile,fragile;fragile
openai:gpt-5.5,openai:gpt-5.5,openai:gpt-5.5,pubmed_37121277_pmid37121277_reho_cluster1_vs_td,asd,literature_grounded,PMID:37121277; DOI:10.1016/j.bbr.2023.114458,pubmed_literature,fragile,candidate_unknown,,review-stage/confirm-gates-all-gpt55/combined_benchmark_results.json,,False,2,2,2,0,2,2,0,0,0,,,0,0,0,0,0,0,0,False,False,False,0,not_requested,unknown,0,0,0,0,no_supported_candidate,stronger_design;moderator_or_subgroup,,,,fragile;fragile,fragile;fragile
openai:gpt-5.5,openai:gpt-5.5,openai:gpt-5.5,pubmed_37121277_pmid37121277_vmhc_cluster1_vs_td,asd,literature_grounded,PMID:37121277; DOI:10.1016/j.bbr.2023.114458,pubmed_literature,fragile,candidate_unknown,,review-stage/confirm-gates-all-gpt55/combined_benchmark_results.json,,False,2,2,2,0,2,2,0,0,0,,,0,0,0,0,0,0,0,False,False,False,0,not_requested,unknown,0,0,0,0,no_supported_candidate,moderator_or_subgroup;stronger_design,,,,fragile;fragile,fragile;fragile
openai:gpt-5.5,openai:gpt-5.5,openai:gpt-5.5,pubmed_37121277_pmid37121277_mccfc_cluster2_vs_td,asd,literature_grounded,PMID:37121277; DOI:10.1016/j.bbr.2023.114458,pubmed_literature,fragile,candidate_unknown,,review-stage/confirm-gates-all-gpt55/combined_benchmark_results.json,,False,2,2,2,0,2,2,0,0,0,,,0,0,0,0,0,0,0,False,False,False,0,not_requested,unknown,0,0,0,0,no_supported_candidate,stronger_design;moderator_or_subgroup,,,,fragile;fragile,fragile;fragile
openai:gpt-5.5,openai:gpt-5.5,openai:gpt-5.5,pubmed_42141307_pmid42141307_asd_fmri_fc_casecontrol_mixed,asd,literature_grounded,PMID:42141307; DOI:10.1038/s41593-026-02287-z,pubmed_literature,fragile,candidate_unknown,,review-stage/confirm-gates-all-gpt55/combined_benchmark_results.json,,False,2,2,2,0,2,2,0,0,0,,,0,0,0,0,0,0,0,False,False,False,0,not_requested,unknown,0,0,0,0,no_supported_candidate,moderator_or_subgroup;stronger_design,,,,fragile;fragile,fragile;fragile
