claim_id,source_verdict,primary_failure,repairability,failed_gates,diagnosis,allowed_revisions,forbidden_revisions,next_agent_instruction,must_preserve,allowed_contract_changes,source_artifact
age_fc_ukb_hcpaging,confirmed,none,not_repairable,,The claim is already confirmed by the current gate stack.,No revision is needed.,Do not revise a confirmed claim to chase larger effects.,Report the confirmed claim using only engine-computed numbers.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,,review-stage/round5-combat/combined_benchmark_audit.csv
age_fc_hcpa_hcp,confirmed,none,not_repairable,,The claim is already confirmed by the current gate stack.,No revision is needed.,Do not revise a confirmed claim to chase larger effects.,Report the confirmed claim using only engine-computed numbers.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,,review-stage/round5-combat/combined_benchmark_audit.csv
sex_fc_ukb_hcp,confirmed,none,not_repairable,,The claim is already confirmed by the current gate stack.,No revision is needed.,Do not revise a confirmed claim to chase larger effects.,Report the confirmed claim using only engine-computed numbers.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,,review-stage/round5-combat/combined_benchmark_audit.csv
sex_fc_abcd_hcp,confirmed,none,not_repairable,,The claim is already confirmed by the current gate stack.,No revision is needed.,Do not revise a confirmed claim to chase larger effects.,Report the confirmed claim using only engine-computed numbers.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,,review-stage/round5-combat/combined_benchmark_audit.csv
cognition_fc_ukb_abcd,confirmed,none,not_repairable,,The claim is already confirmed by the current gate stack.,No revision is needed.,Do not revise a confirmed claim to chase larger effects.,Report the confirmed claim using only engine-computed numbers.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,,review-stage/round5-combat/combined_benchmark_audit.csv
cognition_fc_hcp_hcpa,fragile,multiplicity,downgrade_only,multiplicity;multiverse;replication;pattern_corr;region_replication_fraction,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
cognition_dyno_ukb_abcd,confirmed,none,not_repairable,,The claim is already confirmed by the current gate stack.,No revision is needed.,Do not revise a confirmed claim to chase larger effects.,Report the confirmed claim using only engine-computed numbers.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,,review-stage/round5-combat/combined_benchmark_audit.csv
adhd_fc_adhd200_abcd,non_replicated,multiverse,downgrade_only,replication;pattern_corr;region_replication_fraction,The result is not stable across reasonable analysis specifications.,State that the claim is fragile under multiverse analysis. | Predeclare a narrower estimand for a future run if scientifically justified. | Return a fragile disposition.,Do not select only the favorable analysis branch after seeing the multiverse. | Do not lower the multiverse consistency threshold. | Do not present a fragile result as confirmed.,Return a fragile disposition unless a new predeclared study design is available.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
adhd_region_adhd200_abcd,non_replicated,multiverse,downgrade_only,replication;pattern_corr;region_replication_fraction,The result is not stable across reasonable analysis specifications.,State that the claim is fragile under multiverse analysis. | Predeclare a narrower estimand for a future run if scientifically justified. | Return a fragile disposition.,Do not select only the favorable analysis branch after seeing the multiverse. | Do not lower the multiverse consistency threshold. | Do not present a fragile result as confirmed.,Return a fragile disposition unless a new predeclared study design is available.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
asd_fc_abide2_abcd,fragile,multiplicity,downgrade_only,multiplicity;multiverse;replication;pattern_corr;region_replication_fraction,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
ad_fc_adni_oasis3,fragile,multiplicity,downgrade_only,multiplicity;multiverse;replication;pattern_corr;region_replication_fraction,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
ad_region_adni_oasis3,non_replicated,multiverse,downgrade_only,replication;pattern_corr;region_replication_fraction,The result is not stable across reasonable analysis specifications.,State that the claim is fragile under multiverse analysis. | Predeclare a narrower estimand for a future run if scientifically justified. | Return a fragile disposition.,Do not select only the favorable analysis branch after seeing the multiverse. | Do not lower the multiverse consistency threshold. | Do not present a fragile result as confirmed.,Return a fragile disposition unless a new predeclared study design is available.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
ad_dyno_adni_oasis3,fragile,multiplicity,downgrade_only,multiplicity;multiverse;replication;pattern_corr;region_replication_fraction,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
injected_null_site_abcd,fragile,confound,needs_new_data,confound,The apparent effect is structurally confounded: the predictor is nested in a declared confound.,Add missing measured confounds to the covariate and confound-gate requirements. | Use a balanced or independent cohort/split where the predictor is not nested in site/scanner. | Downgrade the claim to a confounded association if the design cannot be repaired.,Do not remove the confound gate or required covariates. | Do not report the result as biological confirmation while the design is confounded. | Do not change the outcome to a more significant feature.,"Repair the confound specification/design, or return a fragile/needs_more_data disposition.",scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,covariates;disposition,review-stage/round5-combat/combined_benchmark_audit.csv
injected_null_site_ukb,fragile,confound,needs_new_data,confound,The apparent effect is structurally confounded: the predictor is nested in a declared confound.,Add missing measured confounds to the covariate and confound-gate requirements. | Use a balanced or independent cohort/split where the predictor is not nested in site/scanner. | Downgrade the claim to a confounded association if the design cannot be repaired.,Do not remove the confound gate or required covariates. | Do not report the result as biological confirmation while the design is confounded. | Do not change the outcome to a more significant feature.,"Repair the confound specification/design, or return a fragile/needs_more_data disposition.",scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,covariates;disposition,review-stage/round5-combat/combined_benchmark_audit.csv
injected_null_random_hcp,fragile,multiplicity,downgrade_only,multiplicity;multiverse;replication;pattern_corr;region_replication_fraction,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
injected_null_fishing_abide2,fragile,multiplicity,downgrade_only,multiplicity;power;multiverse;replication,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
injected_null_fishing_adhd200,fragile,multiplicity,downgrade_only,multiplicity;multiverse;replication,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
underpowered_asd_site_abide2,fragile,confound,needs_new_data,multiplicity;confound,The apparent effect is structurally confounded: the predictor is nested in a declared confound.,Add missing measured confounds to the covariate and confound-gate requirements. | Use a balanced or independent cohort/split where the predictor is not nested in site/scanner. | Downgrade the claim to a confounded association if the design cannot be repaired.,Do not remove the confound gate or required covariates. | Do not report the result as biological confirmation while the design is confounded. | Do not change the outcome to a more significant feature.,"Repair the confound specification/design, or return a fragile/needs_more_data disposition.",scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,covariates;disposition,review-stage/round5-combat/combined_benchmark_audit.csv
underpowered_adhd_site_adhd200,fragile,multiplicity,downgrade_only,multiplicity;multiverse;replication;pattern_corr;region_replication_fraction,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
sz_fc_within_cobre_fbirn,confirmed,none,not_repairable,,The claim is already confirmed by the current gate stack.,No revision is needed.,Do not revise a confirmed claim to chase larger effects.,Report the confirmed claim using only engine-computed numbers.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,,review-stage/round5-combat/combined_benchmark_audit.csv
sz_fc_mean_abs_cobre_fbirn,confirmed,none,not_repairable,,The claim is already confirmed by the current gate stack.,No revision is needed.,Do not revise a confirmed claim to chase larger effects.,Report the confirmed claim using only engine-computed numbers.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,,review-stage/round5-combat/combined_benchmark_audit.csv
asd_fc_abide1_site_split,fragile,multiplicity,downgrade_only,multiplicity;power;multiverse;replication;pattern_corr;region_replication_fraction,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
asd_fc_mean_abs_abide1_site_split,fragile,multiplicity,downgrade_only,multiplicity;power;multiverse;replication,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
injected_null_random_ukb,fragile,multiplicity,downgrade_only,multiplicity;multiverse;replication;pattern_corr;region_replication_fraction,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
injected_null_random_abcd,fragile,multiplicity,downgrade_only,multiplicity;multiverse;replication;pattern_corr;region_replication_fraction,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
injected_null_random_abide2,fragile,multiplicity,downgrade_only,multiplicity;power;multiverse;replication;pattern_corr;region_replication_fraction,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
injected_null_random_adhd200,fragile,multiplicity,downgrade_only,multiplicity;multiverse;replication;pattern_corr;region_replication_fraction,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
injected_null_random_hcpaging,fragile,multiplicity,downgrade_only,multiplicity;multiverse;replication;pattern_corr;region_replication_fraction,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
injected_null_random_cobre,fragile,multiplicity,downgrade_only,multiplicity;power;multiverse;replication;pattern_corr;region_replication_fraction,The primary effect does not survive the declared multiplicity correction.,Return a fragile disposition. | Treat the finding as exploratory and design a new confirmatory study.,Do not lower alpha or family size. | Do not switch to a more significant outcome. | Do not report nominal significance as confirmation.,Return a fragile disposition or propose a new confirmatory design.,scientific_question;outcome_family;direction;discovery_cohort;gate_thresholds;replication_cohorts,disposition,review-stage/round5-combat/combined_benchmark_audit.csv
