claim_id,target_family,source_mode,model_spec,final_label,gate_verdict_label,draft_success,gate_success,error_stage,error
pubmed_39013249_pmid39013249_age_ifg_vatl_semantic_fc,normative_fmri,literature_grounded,openai:gpt-5.5,confirmed,confirmed,True,True,,
pubmed_23333262_pmid23333262_rsfc_aging_1,normative_fmri,literature_grounded,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
pubmed_26663386_pmid26663386_age_cingulum_fc,normative_fmri,literature_grounded,openai:gpt-5.5,confirmed,confirmed,True,True,,
pubmed_39856610_pmid39856610_1,adhd,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_35583796_pmid35583796_rsfc_dmn_within,adhd,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_35583796_pmid35583796_rsfc_dmn_control_salience,adhd,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_36403658_pmid36403658_adhd_dmn_fc,adhd,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_36403658_pmid36403658_adhd_fc_classifier,adhd,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_35359026_35359026_1,adhd,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_34280835_pmid34280835_adhd_smn-fc_01,adhd,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_31265198_pmid31265198_fc_adhd_vs_tdc,adhd,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_35338900_pmid35338900_age_fcsc,adhd,literature_grounded,openai:gpt-5.5,non_replicated,non_replicated,True,True,,
pubmed_35338900_pmid35338900_boysadhd_limbicdmn,adhd,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_37121277_pmid37121277_reho_cluster1_vs_td,asd,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_37121277_pmid37121277_vmhc_cluster1_vs_td,asd,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_37121277_pmid37121277_mccfc_cluster2_vs_td,asd,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_42141307_pmid42141307_asd_fmri_fc_casecontrol_mixed,asd,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_34264028_34264028-1,asd,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_37741308_pmid37741308_asd_fc_groupdiff,asd,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_28040544_pmid28040544_asd_fc_kea_corticalnetworks,asd,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_28040544_pmid28040544_asd_fc_selffacetom,asd,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_30833582_pmid30833582_asd_stepwise_connectivity,asd,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_1431963_pmid1431963_mta_ad_vs_controls,ad_aging,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_1431963_pmid1431963_mtl_linear_ad_vs_controls,ad_aging,literature_grounded,openai:gpt-5.5,confirmed,confirmed,True,True,,
pubmed_21729419_pmid21729419_1,ad_aging,literature_grounded,openai:gpt-5.5,confirmed,confirmed,True,True,,
pubmed_21729419_pmid21729419_2,ad_aging,literature_grounded,openai:gpt-5.5,fragile,fragile,True,True,,
pubmed_26306871_pmid26306871_ca1_earlyad_smri,ad_aging,literature_grounded,openai:gpt-5.5,confirmed,confirmed,True,True,,
pubmed_26306871_pmid26306871_widespread_dementiaad_smri,ad_aging,literature_grounded,openai:gpt-5.5,confirmed,confirmed,True,True,,
pubmed_35388950_pmid35388950_ad_havas_detection,ad_aging,literature_grounded,openai:gpt-5.5,confirmed,confirmed,True,True,,
pubmed_35388950_pmid35388950_ad_hav_volumes,ad_aging,literature_grounded,openai:gpt-5.5,confirmed,confirmed,True,True,,
