claim_id,target_family,source_mode,model_spec,question,final_label,label_class,label_basis
pubmed_39013249_pmid39013249_age_ifg_vatl_semantic_fc,normative_fmri,literature_grounded,openai:gpt-5.5,"For literature-grounded age group or age, with young group compared against older participants effect on age moderation of semantic-network functional connectivity in fMRI-FC, using ABCD as discovery and HCP_Aging as replication, test the claim with expected direction negative and adjust for age;sex;site when available.",confirmed,candidate_unknown,pubmed_literature
pubmed_23333262_pmid23333262_rsfc_aging_1,normative_fmri,literature_grounded,openai:gpt-5.5,"For literature-grounded age / older adults versus younger adults effect on resting-state functional connectivity in rs-fMRI / fMRI-FC, using ABCD as discovery and HCP_Aging as replication, test the claim with expected direction two_sided and adjust for age;sex;site when available.",non_replicated,candidate_unknown,pubmed_literature
pubmed_26663386_pmid26663386_age_cingulum_fc,normative_fmri,literature_grounded,openai:gpt-5.5,"For literature-grounded Age among healthy older adults aged 64-85 effect on resting-state functional connectivity strength in resting-state fMRI functional connectivity, using ABCD as discovery and HCP_Aging as replication, test the claim with expected direction two_sided and adjust for age;sex;site when available.",confirmed,candidate_unknown,pubmed_literature
pubmed_39856610_pmid39856610_1,adhd,literature_grounded,openai:gpt-5.5,"For literature-grounded ADHD-only group versus healthy controls and ADHD+ODD group effect on Amygdala subregion functional connectivity with left caudate, left putamen, and frontal cortex in resting-state fMRI functional connectivity, using ABCD as discovery and ADHD200 as replication, test the claim with expected direction positive and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_35583796_pmid35583796_rsfc_dmn_within,adhd,literature_grounded,openai:gpt-5.5,"For literature-grounded ADHD diagnosis versus controls effect on default mode network within-network functional connectivity in resting-state fMRI functional connectivity, using ABCD as discovery and ADHD200 as replication, test the claim with expected direction two_sided and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_35583796_pmid35583796_rsfc_dmn_control_salience,adhd,literature_grounded,openai:gpt-5.5,"For literature-grounded ADHD diagnosis versus controls effect on between-network functional connectivity involving DMN, fronto-parietal control network, and salience network in resting-state fMRI functional connectivity, using ABCD as discovery and ADHD200 as replication, test the claim with expected direction two_sided and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_36403658_pmid36403658_adhd_dmn_fc,adhd,literature_grounded,openai:gpt-5.5,"For literature-grounded social phobia adolescents with ADHD comorbidity versus social phobia adolescents without ADHD comorbidity effect on default mode network functional connectivity in resting-state fMRI functional connectivity, using ABCD as discovery and ADHD200 as replication, test the claim with expected direction two_sided and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_36403658_pmid36403658_adhd_fc_classifier,adhd,literature_grounded,openai:gpt-5.5,"For literature-grounded healthy controls, social phobia without ADHD, and social phobia with ADHD comorbidity effect on multivariate classification using functional connectivity strength and topology features in resting-state fMRI functional connectivity, using ABCD as discovery and ADHD200 as replication, test the claim with expected direction two_sided and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_35359026_35359026_1,adhd,literature_grounded,openai:gpt-5.5,"For literature-grounded ADHD diagnosis versus healthy controls effect on fronto-parietotemporal-striatal functional connectivity in fMRI functional connectivity, using ABCD as discovery and ADHD200 as replication, test the claim with expected direction two_sided and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_34280835_pmid34280835_adhd_smn-fc_01,adhd,literature_grounded,openai:gpt-5.5,"For literature-grounded ADHD diagnosis versus typically developing control status effect on interhemispheric somatomotor network functional connectivity in resting-state fMRI functional connectivity, using ABCD as discovery and ADHD200 as replication, test the claim with expected direction positive and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_31265198_pmid31265198_fc_adhd_vs_tdc,adhd,literature_grounded,openai:gpt-5.5,"For literature-grounded ADHD patients versus typically developing controls effect on seed-based functional connectivity in resting-state fMRI functional connectivity, using ABCD as discovery and ADHD200 as replication, test the claim with expected direction negative and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_35338900_pmid35338900_age_fcsc,adhd,literature_grounded,openai:gpt-5.5,"For literature-grounded age effect on frontal corticostriatal functional connectivity between striatal subregions and frontal cortex in fMRI-FC, using ABCD as discovery and ADHD200 as replication, test the claim with expected direction positive and adjust for age;sex;site when available.",non_replicated,candidate_unknown,pubmed_literature
pubmed_35338900_pmid35338900_boysadhd_limbicdmn,adhd,literature_grounded,openai:gpt-5.5,"For literature-grounded boys with ADHD / ADHD-by-sex group contrast effect on frontal-limbic striatum connectivity with default mode network regions in fMRI-FC, using ABCD as discovery and ADHD200 as replication, test the claim with expected direction positive and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_37121277_pmid37121277_reho_cluster1_vs_td,asd,literature_grounded,openai:gpt-5.5,"For literature-grounded ASD Cluster-1 with more severe ADI-R impairment versus typical-development controls effect on local functional connectivity assessed by regional homogeneity (ReHo) in resting-state fMRI functional connectivity, using ABIDE2 as discovery and ABIDE2 as replication, test the claim with expected direction positive and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_37121277_pmid37121277_vmhc_cluster1_vs_td,asd,literature_grounded,openai:gpt-5.5,"For literature-grounded ASD Cluster-1 with more severe ADI-R impairment versus typical-development controls effect on remote functional connectivity assessed by voxel-mirrored homotopic connectivity (VMHC) in resting-state fMRI functional connectivity, using ABIDE2 as discovery and ABIDE2 as replication, test the claim with expected direction negative and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
pubmed_37121277_pmid37121277_mccfc_cluster2_vs_td,asd,literature_grounded,openai:gpt-5.5,"For literature-grounded ASD Cluster-2 with moderate ADI-R impairment versus typical-development controls effect on MCC-related whole-brain functional connectivity in resting-state fMRI functional connectivity, using ABIDE2 as discovery and ABIDE2 as replication, test the claim with expected direction negative and adjust for age;sex;site when available.",fragile,candidate_unknown,pubmed_literature
