claim_id,family,expected_gate,scoring_label,label_authority,final_label,exec_only,+confound,+power,+multiverse,+replication,n_discovery,n_replication,n_features,outcome,best_beta,best_p,best_standardized_effect,achieved_power,under_powered,multiverse_fraction_consistent,replication_passed,replication_reason,search_family_size,search_selection,confound_completeness_passed,confound_completeness_reason,synthetic_metadata,rationale
neg_random_label_ukb_s1,random_label,multiplicity_or_replication,known_null,main,fragile,False,False,False,False,False,19628,19663,1,fc_fc_Cont_Cont_z,0.0017521295225417515,0.8331161163681886,0.003752299354279493,0.08221039762770649,True,0.0,False,non_replicated_effect_absent,1,preregistered,True,passed,"{""cohort_path"": ""data/prepared_data/benchmark_ready/cohorts/UKB.parquet"", ""seed"": 1}","Failed gates: multiplicity, power, multiverse, replication; replication=non_replicated_effect_absent; power=0.082, n_needed_80=557459.3, ref_effect=none"
neg_site_confound_ukb_s1,site_confound,confound_completeness,known_null,main,fragile,True,False,False,False,False,19628,19663,1,fc_fc_Cont_Vis,0.1800883216270416,0.0,2.545403493054615,1.0,False,1.0,True,passed,1,preregistered,False,confound_incomplete,"{""cohort_path"": ""data/prepared_data/benchmark_ready/cohorts/UKB.parquet"", ""seed"": 1, ""site_source"": ""synthetic_median_split""}",Failed gates: confound_completeness; confound_incomplete
neg_p_fishing_ukb_s1,p_fishing,search_provenance_multiplicity,known_null,main,fragile,False,False,False,False,False,19628,19663,24,fc_fc_Cont_DorsAttn_z_z,0.028666894759891114,0.07926857498211867,0.025212838988390447,0.9420457211250901,False,0.0,False,non_replicated_effect_absent,24,discovery_only,True,passed,"{""cohort_path"": ""data/prepared_data/benchmark_ready/cohorts/UKB.parquet"", ""searched_feature_count"": 24, ""seed"": 1, ""selected_outcome"": ""fc_fc_Cont_DorsAttn_z_z"", ""top_discovery_features"": [{""beta"": 0.028666894759891114, ""n"": 19628, ""outcome"": ""fc_fc_Cont_DorsAttn_z_z"", ""p"": 0.07926857498211867}, {""beta"": -0.012596385701340989, ""n"": 19628, ""outcome"": ""fc_fc_Cont_SalVentAttn_z"", ""p"": 0.10648213727945795}, {""beta"": -0.012490677107436798, ""n"": 19628, ""outcome"": ""fc_fc_Default_Default_z"", ""p"": 0.13772693095303412}, {""beta"": -0.01273030015648187, ""n"": 19628, ""outcome"": ""fc_fc_Cont_Limbic_z"", ""p"": 0.14963724488440464}, {""beta"": 0.0020526536549286805, ""n"": 19628, ""outcome"": ""fc_fc_Cont_DorsAttn"", ""p"": 0.15066775584515746}, {""beta"": -0.011123681777190607, ""n"": 19628, ""outcome"": ""fc_fc_Cont_Default_z"", ""p"": 0.16794398890640902}, {""beta"": 0.021680493286603826, ""n"": 19628, ""outcome"": ""fc_fc_Cont_SomMot_z_z"", ""p"": 0.19058529976113417}, {""beta"": -0.010196025953333444, ""n"": 19628, ""outcome"": ""fc_fc_Cont_Cont_z"", ""p"": 0.22014413631932847}, {""beta"": 0.020187780268140398, ""n"": 19628, ""outcome"": ""fc_fc_Cont_Vis_z_z"", ""p"": 0.24625790982166676}, {""beta"": 0.001991046399972693, ""n"": 19628, ""outcome"": ""fc_fc_Cont_SomMot"", ""p"": 0.263099944218621}]}","Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
neg_random_label_ukb_s2,random_label,multiplicity_or_replication,known_null,main,fragile,False,False,False,False,False,19656,19635,1,fc_fc_Cont_Cont_z_z,0.006899971389727526,0.6891280152963728,0.006669889412696012,0.15460262024286478,True,0.0,False,non_replicated_effect_absent,1,preregistered,True,passed,"{""cohort_path"": ""data/prepared_data/benchmark_ready/cohorts/UKB.parquet"", ""seed"": 2}","Failed gates: multiplicity, power, multiverse, replication; replication=non_replicated_effect_absent; power=0.155, n_needed_80=176430.7, ref_effect=none"
neg_site_confound_ukb_s2,site_confound,confound_completeness,known_null,main,fragile,True,False,False,False,False,19656,19635,1,fc_fc_Cont_Vis_z,0.9709015675452192,0.0,3.0706467429684143,1.0,False,1.0,True,passed,1,preregistered,False,confound_incomplete,"{""cohort_path"": ""data/prepared_data/benchmark_ready/cohorts/UKB.parquet"", ""seed"": 2, ""site_source"": ""synthetic_median_split""}",Failed gates: confound_completeness; confound_incomplete
neg_p_fishing_ukb_s2,p_fishing,search_provenance_multiplicity,known_null,main,fragile,False,False,False,False,False,19656,19635,24,fc_fc_Cont_Limbic_z_z,-0.023398481071300603,0.15972123906628685,-0.019212079687980155,0.7683551166538611,True,0.0,False,non_replicated_effect_absent,24,discovery_only,True,passed,"{""cohort_path"": ""data/prepared_data/benchmark_ready/cohorts/UKB.parquet"", ""searched_feature_count"": 24, ""seed"": 2, ""selected_outcome"": ""fc_fc_Cont_Limbic_z_z"", ""top_discovery_features"": [{""beta"": -0.023398481071300603, ""n"": 19656, ""outcome"": ""fc_fc_Cont_Limbic_z_z"", ""p"": 0.15972123906628685}, {""beta"": -0.0015054630049448191, ""n"": 19656, ""outcome"": ""fc_fc_Default_Default"", ""p"": 0.24266497077607088}, {""beta"": -0.019258332878803526, ""n"": 19656, ""outcome"": ""fc_fc_Default_Default_z_z"", ""p"": 0.27854340715609155}, {""beta"": -0.0011777993897332138, ""n"": 19656, ""outcome"": ""fc_fc_Cont_Limbic"", ""p"": 0.30464349151016595}, {""beta"": 0.017128942560421755, ""n"": 19656, ""outcome"": ""fc_fc_Cont_Vis_z_z"", ""p"": 0.3291693399435295}, {""beta"": -0.0012312922737164247, ""n"": 19656, ""outcome"": ""fc_fc_Cont_Default"", ""p"": 0.4143771544678331}, {""beta"": 0.006545981246885558, ""n"": 19656, ""outcome"": ""fc_fc_Cont_Vis_z"", ""p"": 0.4246719952303245}, {""beta"": 0.0064747700561325824, ""n"": 19656, ""outcome"": ""fc_fc_Cont_Cont_z"", ""p"": 0.43749415963632854}, {""beta"": 0.006077436681786824, ""n"": 19656, ""outcome"": ""fc_fc_Cont_DorsAttn_z"", ""p"": 0.45968631707359975}, {""beta"": 0.005198092516641429, ""n"": 19656, ""outcome"": ""fc_fc_Cont_SalVentAttn_z"", ""p"": 0.5065659471218045}]}","Failed gates: multiplicity, power, multiverse, replication; replication=non_replicated_effect_absent; power=0.768, n_needed_80=21266.6, ref_effect=none"
neg_random_label_ukb_s3,random_label,multiplicity_or_replication,known_null,main,fragile,False,False,False,False,False,19658,19633,1,fc_fc_Cont_Default,-0.001368929376494432,0.3607218121089133,-0.012599019366017613,0.42334963043547874,True,0.0,False,non_replicated_effect_absent,1,preregistered,True,passed,"{""cohort_path"": ""data/prepared_data/benchmark_ready/cohorts/UKB.parquet"", ""seed"": 3}","Failed gates: multiplicity, power, multiverse, replication; replication=non_replicated_effect_absent; power=0.423, n_needed_80=49448.1, ref_effect=none"
neg_site_confound_ukb_s3,site_confound,confound_completeness,known_null,main,fragile,True,False,False,False,False,19658,19633,1,fc_fc_Cont_Vis_z_z,1.9721151834329738,0.0,2.6908714685901347,1.0,False,1.0,True,passed,1,preregistered,False,confound_incomplete,"{""cohort_path"": ""data/prepared_data/benchmark_ready/cohorts/UKB.parquet"", ""seed"": 3, ""site_source"": ""synthetic_median_split""}",Failed gates: confound_completeness; confound_incomplete
neg_p_fishing_ukb_s3,p_fishing,search_provenance_multiplicity,known_null,main,fragile,False,False,False,False,False,19658,19633,24,fc_fc_Cont_Cont_z_z,0.02302896493253986,0.17753092891280306,0.020177463305376675,0.8075551646585079,False,0.0,False,non_replicated_effect_absent,24,discovery_only,True,passed,"{""cohort_path"": ""data/prepared_data/benchmark_ready/cohorts/UKB.parquet"", ""searched_feature_count"": 24, ""seed"": 3, ""selected_outcome"": ""fc_fc_Cont_Cont_z_z"", ""top_discovery_features"": [{""beta"": 0.02302896493253986, ""n"": 19658, ""outcome"": ""fc_fc_Cont_Cont_z_z"", ""p"": 0.17753092891280306}, {""beta"": 0.020574726828925766, ""n"": 19658, ""outcome"": ""fc_fc_Cont_SomMot_z_z"", ""p"": 0.21716924658763523}, {""beta"": 0.017025763429492115, ""n"": 19658, ""outcome"": ""fc_fc_Cont_DorsAttn_z_z"", ""p"": 0.29691245092898266}, {""beta"": 0.017907937072876298, ""n"": 19658, ""outcome"": ""fc_fc_Default_Default_z_z"", ""p"": 0.3117085124028088}, {""beta"": -0.0010605456304113347, ""n"": 19658, ""outcome"": ""fc_fc_Cont_Limbic"", ""p"": 0.35303846507487635}, {""beta"": -0.014446510421667117, ""n"": 19658, ""outcome"": ""fc_fc_Cont_Limbic_z_z"", ""p"": 0.385977261219443}, {""beta"": 0.006796256483215888, ""n"": 19658, ""outcome"": ""fc_fc_Cont_Cont_z"", ""p"": 0.4142667998453897}, {""beta"": 0.005881197693082332, ""n"": 19658, ""outcome"": ""fc_fc_Cont_DorsAttn_z"", ""p"": 0.47313475142115946}, {""beta"": 0.005891675438865623, ""n"": 19658, ""outcome"": ""fc_fc_Default_Default_z"", ""p"": 0.48451925168867416}, {""beta"": 0.005427476089832519, ""n"": 19658, ""outcome"": ""fc_fc_Cont_SomMot_z"", ""p"": 0.49345414527842246}]}","Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
neg_random_label_abcd_s1,random_label,multiplicity_or_replication,known_null,main,fragile,False,False,False,False,False,5194,5196,1,fc_fc_Cont_Cont_z,-0.002846906369396191,0.8392176775823661,-0.005476709313334335,0.06802380697711922,True,0.0,False,non_replicated_effect_absent,1,preregistered,True,passed,"{""cohort_path"": ""data/prepared_data/benchmark_ready/cohorts/ABCD.parquet"", ""seed"": 1}","Failed gates: multiplicity, power, multiverse, replication; replication=non_replicated_effect_absent; power=0.068, n_needed_80=261679.9, ref_effect=none"
neg_site_confound_abcd_s1,site_confound,confound_completeness,known_null,main,fragile,True,False,False,False,False,5194,5196,1,fc_fc_Cont_Vis,0.23161235545641315,0.0,2.690353575559318,1.0,False,1.0,True,passed,1,preregistered,False,confound_incomplete,"{""cohort_path"": ""data/prepared_data/benchmark_ready/cohorts/ABCD.parquet"", ""seed"": 1, ""site_source"": ""synthetic_median_split""}",Failed gates: confound_completeness; confound_incomplete
neg_p_fishing_abcd_s1,p_fishing,search_provenance_multiplicity,known_null,main,fragile,False,False,False,False,False,5194,5196,24,fc_fc_Cont_SalVentAttn,-0.00610306408981665,0.14600774840474867,-0.03932305983909735,0.8088059539143253,False,0.0,False,non_replicated_effect_absent,24,discovery_only,True,passed,"{""cohort_path"": ""data/prepared_data/benchmark_ready/cohorts/ABCD.parquet"", ""searched_feature_count"": 24, ""seed"": 1, ""selected_outcome"": ""fc_fc_Cont_SalVentAttn"", ""top_discovery_features"": [{""beta"": -0.00610306408981665, ""n"": 5194, ""outcome"": ""fc_fc_Cont_SalVentAttn"", ""p"": 0.14600774840474867}, {""beta"": -0.029087566264924935, ""n"": 5194, ""outcome"": ""fc_fc_Cont_SalVentAttn_z_z"", ""p"": 0.17819417148065766}, {""beta"": -0.03476225843913396, ""n"": 5194, ""outcome"": ""fc_fc_Cont_DorsAttn_z_z"", ""p"": 0.17902008585457133}, {""beta"": -0.004972111222027526, ""n"": 5194, ""outcome"": ""fc_fc_Cont_Cont"", ""p"": 0.18674538180495368}, {""beta"": -0.005152495174210216, ""n"": 5194, ""outcome"": ""fc_fc_Cont_DorsAttn"", ""p"": 0.18684843412870827}, {""beta"": -0.0049611546019186995, ""n"": 5194, ""outcome"": ""fc_fc_Cont_Default"", ""p"": 0.20988486593605152}, {""beta"": 0.01614027925430649, ""n"": 5194, ""outcome"": ""fc_fc_Cont_Limbic_z"", ""p"": 0.21114382367561554}, {""beta"": -0.00437185775240895, ""n"": 5194, ""outcome"": ""fc_fc_Default_Default"", ""p"": 0.226787855787543}, {""beta"": -0.005341649725079049, ""n"": 5194, ""outcome"": ""fc_fc_Cont_SomMot"", ""p"": 0.22998257718883275}, {""beta"": 0.015261616303956968, ""n"": 5194, ""outcome"": ""fc_fc_Cont_Vis_z"", ""p"": 0.23975019810664264}]}","Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
neg_random_label_abcd_s2,random_label,multiplicity_or_replication,known_null,main,fragile,False,False,False,False,False,5195,5195,1,fc_fc_Cont_Cont_z_z,-0.016376037250174367,0.5847680069384051,-0.016102492140867314,0.2128832188780398,True,0.0,False,non_replicated_effect_absent,1,preregistered,True,passed,"{""cohort_path"": ""data/prepared_data/benchmark_ready/cohorts/ABCD.parquet"", ""seed"": 2}","Failed gates: multiplicity, power, multiverse, replication; replication=non_replicated_effect_absent; power=0.213, n_needed_80=30272.5, ref_effect=none"
neg_site_confound_abcd_s2,site_confound,confound_completeness,known_null,main,fragile,True,False,False,False,False,5195,5195,1,fc_fc_Cont_Vis_z,0.7263700779781154,0.0,2.421024948333883,1.0,False,1.0,True,passed,1,preregistered,False,confound_incomplete,"{""cohort_path"": ""data/prepared_data/benchmark_ready/cohorts/ABCD.parquet"", ""seed"": 2, ""site_source"": ""synthetic_median_split""}",Failed gates: confound_completeness; confound_incomplete
neg_p_fishing_abcd_s2,p_fishing,search_provenance_multiplicity,known_null,main,fragile,False,False,False,False,False,5195,5195,24,fc_fc_Cont_Limbic_z_z,-0.06495245015735707,0.02702446174905427,-0.0621061816425573,0.9940583973634904,False,0.0,False,non_replicated_effect_absent,24,discovery_only,True,passed,"{""cohort_path"": ""data/prepared_data/benchmark_ready/cohorts/ABCD.parquet"", ""searched_feature_count"": 24, ""seed"": 2, ""selected_outcome"": ""fc_fc_Cont_Limbic_z_z"", ""top_discovery_features"": [{""beta"": -0.06495245015735707, ""n"": 5195, ""outcome"": ""fc_fc_Cont_Limbic_z_z"", ""p"": 0.02702446174905427}, {""beta"": -0.04732825417770311, ""n"": 5195, ""outcome"": ""fc_fc_Default_Default_z_z"", ""p"": 0.08313629773314701}, {""beta"": -0.0064300165268960366, ""n"": 5195, ""outcome"": ""fc_fc_Cont_Limbic"", ""p"": 0.08500110711002733}, {""beta"": 0.02940921643261765, ""n"": 5195, ""outcome"": ""fc_fc_Cont_SomMot_z_z"", ""p"": 0.1589873640779675}, {""beta"": -0.040121413413229924, ""n"": 5195, ""outcome"": ""fc_fc_Cont_Cont_z_z"", ""p"": 0.18081523890615875}, {""beta"": -0.004572491376632999, ""n"": 5195, ""outcome"": ""fc_fc_Default_Default"", ""p"": 0.203882979821155}, {""beta"": -0.025889613849651, ""n"": 5195, ""outcome"": ""fc_fc_Cont_Default_z_z"", ""p"": 0.222916372227987}, {""beta"": -0.004558337916180436, ""n"": 5195, ""outcome"": ""fc_fc_Cont_Cont"", ""p"": 0.2275351682126662}, {""beta"": -0.004159735833199083, ""n"": 5195, ""outcome"": ""fc_fc_Cont_Default"", ""p"": 0.2908671048311829}, {""beta"": 0.011959344042449749, ""n"": 5195, ""outcome"": ""fc_fc_Cont_SomMot_z"", ""p"": 0.34951307669652265}]}","Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
neg_random_label_abcd_s3,random_label,multiplicity_or_replication,known_null,main,fragile,False,False,False,False,False,5195,5195,1,fc_fc_Cont_Default,-0.0035576987074972055,0.36310829090862007,-0.02353934997499317,0.3961538010550603,True,0.0,False,non_replicated_effect_absent,1,preregistered,True,passed,"{""cohort_path"": ""data/prepared_data/benchmark_ready/cohorts/ABCD.parquet"", ""seed"": 3}","Failed gates: multiplicity, power, multiverse, replication; replication=non_replicated_effect_absent; power=0.396, n_needed_80=14167.0, ref_effect=none"
